year,engine_category,engine_volume_l,util_fee_rub,indexation_coefficient,change_pct
2024,До 1.0 л,0.8,34000,1.0,0
2024,1.0-1.5 л,1.2,51000,1.0,0
2024,1.5-2.0 л,1.6,85000,1.0,0
2024,2.0-3.0 л,2.5,170000,1.0,0
2024,3.0-3.5 л,3.2,255000,1.0,0
2024,3.5+ л,4.0,340000,1.0,0
2025,До 1.0 л,0.8,39100,1.15,14
2025,1.0-1.5 л,1.2,58649,1.15,14
2025,1.5-2.0 л,1.6,97749,1.15,14
2025,2.0-3.0 л,2.5,195499,1.15,14
2025,3.0-3.5 л,3.2,293250,1.15,14
2025,3.5+ л,4.0,390999,1.15,14
2026,До 1.0 л,0.8,44200,1.3,30
2026,1.0-1.5 л,1.2,66300,1.3,30
2026,1.5-2.0 л,1.6,110500,1.3,30
2026,2.0-3.0 л,2.5,221000,1.3,30
2026,3.0-3.5 л,3.2,331500,1.3,30
2026,3.5+ л,4.0,442000,1.3,30
2027,До 1.0 л,0.8,49300,1.45,44
2027,1.0-1.5 л,1.2,73950,1.45,44
2027,1.5-2.0 л,1.6,123250,1.45,44
2027,2.0-3.0 л,2.5,246500,1.45,44
2027,3.0-3.5 л,3.2,369750,1.45,44
2027,3.5+ л,4.0,493000,1.45,44
2028,До 1.0 л,0.8,54400,1.6,60
2028,1.0-1.5 л,1.2,81600,1.6,60
2028,1.5-2.0 л,1.6,136000,1.6,60
2028,2.0-3.0 л,2.5,272000,1.6,60
2028,3.0-3.5 л,3.2,408000,1.6,60
2028,3.5+ л,4.0,544000,1.6,60
